EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
3855,2014,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,471.673432336215,418.513884160957,-50.3622576344269,195.408755655786,445.093658248586,445.093658248586,72.5232490106795,Neutral
3856,2015,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,283.165891876943,708.826243209515,-198.11081088748,-186.570463313618,495.996067543229,495.996067543229,-192.340637100549,Neutral
3857,2016,Amhara,27708.64453125,2.78154220723081E-05,722.440246582031,2370539.5,92.794059753418,8,462.118594244214,1047.54877806618,-335.402677900231,-546.617705984141,754.833686155197,754.833686155197,-441.010191942186,Neutral
3858,2010,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,4.61721786161869,-255.891153178116,21.4561933029922,2.30860893080935,2.30860893080935,-117.217479937562,Moderate_Acid
3859,2011,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,235.933446782315,146.084984719568,-39.6982072422662,117.966723391158,117.966723391158,53.1933887386509,Moderate_Acid
3860,2012,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,146.234614251477,-291.592173779216,-170.969814656027,73.1173071257385,73.1173071257385,-231.280994217622,Moderate_Acid
3861,2013,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,113.610254380757,-257.804584570059,-142.747428269903,56.8051271903785,56.8051271903785,-200.276006419981,Moderate_Acid
3862,2014,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,1.46462810280765,124.963063122486,385.9655097509,355.514609854236,63.2138456126468,63.2138456126468,370.740059802568,Moderate_Acid
3863,2015,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,97.6261090957063,-128.498242420246,-96.9415438735362,48.8130545478531,48.8130545478531,-112.719893146891,Moderate_Acid
3864,2016,Oromia,178029.5625,0.312205255031586,1461.91259765625,2004283.375,7.69404554367065,12,0,316.726736582897,-421.030009454084,-645.847754105925,158.363368291448,158.363368291448,-533.438881780005,Moderate_Acid
